Title,URL,Content,Date,Word Count
From Gaming To Writing,https://scholarslab.lib.virginia.edu/blog/from-gaming-to-writing/,"Crossposted toBrandon's blog.Michael Levenson, my dissertation director, always had great ice breakers. I most remember one that opened a graduate class on Henry James and Joseph Conrad: “What do you read for?” Separate from research questions per se, this was an invitation to think about what made a passage pop to us, what was at the core of our interest in particular topics. I remember saying that I often found myself writing about problems, puzzles at the core of passages that didn’t make sense. A friend noted how he was drawn to conflict and politics. Another cited interpersonal relations as the thing that drew them in. I marveled at how rarely I thought about the foundational interests in my research areas. What is it that makes one put down the book and pick up the pen?For over two years now I’ve been writing forBacklog, “a video game newsletter for people who are behind on videogames.” Writing about a different subject for a public audience has been invigorating, not least becau...",2023-08-07T00:00:00-04:00,1020
The Life Of A (Scholars’) Lab: On Community,https://scholarslab.lib.virginia.edu/blog/the-life-of-a-scholars-lab-on-community/,"Crossposted tomy personal blogI was on a roundtable atACH 2019onThe Life of a Lab, described on our slides as discussing “Cross-sectional issues of administration, funding, identity, and disciplinarity in DH labs.” The rough text of my talk follows along with my slides.I’m Brandon Walsh, the Head of Student Programs in theScholars’ Lab, a center for experimental scholarship in the University of Virginia Library, where our work is informed by digital humanities, spatial technologies, and cultural heritage. We are a part of and report through the library, and all but one of our employees are currently on hard salary lines. There’s much more to be said about nitty gritty things, and I’m happy to speak further in conversation with others about the Lab’s positioning and infrastructure. For now, I’ll just offer thoughts on this conversation from my own corner of our work, which is primarily student-driven and pedagogically inflected. The points I’ll raise aren’t ones we have the answers to n...",2019-07-25T06:37:46-04:00,1182
Against Projecting: Planning DH Course Projects That Work For You,https://scholarslab.lib.virginia.edu/blog/against-projecting-planning-dh-course-projects-that-work-for-you/,"Crossposted toBrandon's Blog.I was recently asked to give a workshop for theDigital Ethnic Futures Consortiumon how to manage the logistics for semester-long course projects. The result was something I came to call “Against Projecting: Planning DH Course Projects the Work for You.” The goal of it was to take that question and really get to the underlying pre-issues that, if ignored, can make things in the classroom much more difficult. That is to say - before we even get to the how of digital course projects we need to think through why we want to include them, what resources we have to support the work, and what shape they will take.Here’s the abstract:Many instructors include digital projects as the logical final assignments in digital humanities courses. Doing so introduces a host of challenges, however, and it can become all too easy to feel committed to the idea of the digital project in a way that overwhelms our course goals, our students, and ourselves. From a practical standpoi...",2023-03-01T00:00:00-05:00,365
Teaching With Big Ears,https://scholarslab.lib.virginia.edu/blog/teaching-with-big-ears/,"Crossposted toBrandon's blog.When I studied music in school, we were all given a listening placement test. First, the graduate student in charge would play a series of melodies and harmonies for us, and we were asked to notate them. The second test exercised the inverse skills: given a sheet of music we were asked to sing what we saw in front of us. In each case, we were graded on how accurately we were able to convert sound to written notation and back again. All incoming music majors were slotted into one of six sections based on the results of our ear training test, and I placed into the bottom one. Even the most basic skill–pitch matching, or the ability to hear a note and sing that same note back–was a challenge for me. Twice a week for the rest of the semester, the students in my section filed into a basement classroom and made noise around a piano in what must have been an excruciating experience for the trained music doctoral student who taught us.Over the course of the year, t...",2020-08-19T05:39:34-04:00,1605
Prism in the Classroom: Questions to Frame Discussion,https://scholarslab.lib.virginia.edu/blog/prism-in-the-classroom-questions-to-frame-discussion/,"Crossposted tomy personal website.I have been touting the use ofPrismin the university classroom for some time now, but a recent exchange withAnnie Swaffordsuggested to me that it might be worth explicitly outlining how I would go about doing so. With that in mind, I’ve composed the following set of questions for how I might frame discussion of Prism in the classroom. I’ve admittedly only had very brief chances to implement the tool in the classroom myself, so the thoughts come largely out of speculation and conversation. It should be noted as well that I assume below that you have already chosen a text and categories along which it should be marked (I may write on ways to approach such choices at a later date). In what follows, I move from general questions that I think would be helpful in framing any discussion of the tool to a particular use-case inJames Joyce’s A Portrait of the Artist as a Young Man. The former questions inform and engage my latter use-case.I prepare for class dis...",2014-09-16T11:53:31-04:00,968
Print-Ready Web CV,https://scholarslab.lib.virginia.edu/blog/print-ready-web-cv/,"Crossposted toBrandon's blog.I keep my runningCV on my websitefor a few reasons. It keeps everything in one place. It’s handy to point students towards when they have questions about how to list things on their own CV. It lets me pull in some quick stats on my blog posts using Jekyll. But I’ve always run into problems when it comes time to submit my CV as an actual document. Copying the page over to Microsoft Word brings in all the detritus of my web styling and structure, and I have to dutifully edit those elements out before submission.I described this problem to Jeremy Boggs, our Head of R&D, and he immediately suggested that I look into making a print stylesheet for my CV page. I knew you could use CSS to style the ways your web page gets printed, but I’d never actually played around with it before. Now I’ve got things going such that I have far less to do when I go to submit my CV. This post documents that process.The first thing I needed to do was get a way to preview what I was ...",2025-02-03T00:00:00-05:00,888
What Drew Me to Digital Pedagogy,https://scholarslab.lib.virginia.edu/blog/what-drew-me-to-digital-pedagogy/,"Crossposted toBrandon's blog.This year, I am working with Rachel Retica and Seanna Viechweg on a digital pedagogy reading group (join us!). Our plan is to run a yearlong series of sessions, rotating who is in charge of any one meeting, as a means of giving each of us practice teaching at the same time that we’re discussing it. My first session focused on digital pedagogy and labor. Rachel’s session will focus on reading, interpretation and information literacy, and Seanna will run her session as a discussion of culturally responsive pedagogy. As a part of this work, we’ll also be aiming to work up a collectively authored piece at the end of the year. As we’re still in the brainstorming phase now, we decided to take on a series of writing prompts to gather some raw material to discuss our own orientations to this work.Our first: what’s your origin story?It was hard for me to come up with a single answer to the question, so I opted for a kind of refracting approach. Many sketches instead...",2024-10-14T00:00:00-04:00,751
#citepedagogy to Pedagogy-driven Publishing,https://scholarslab.lib.virginia.edu/blog/citepedagogy-to-pedagogy-driven-publishing/,"Crossposted toBrandon's blog.The following contains my lightly edited contribution to the ADHO2024 session entitled “Missions Accomplished? The Future of Mission-Driven Digital Scholarship Journals in DH.” The panel had representatives from several different digital humanities journals talking about ideological underpinnings for their publications.Hello! My name is Brandon Walsh, and I’m the Head of Student Programs in the Scholars’ Lab in the University of Virginia Library.It’s wonderful to be with you today to talk about the Journal of Interactive Technology and Pedagogy, a publication based out of CUNY that I have had the pleasure of working on for several years now. We are “A journal promoting open scholarly discourse around critical and creative uses of technology in teaching, learning, and research.”My initial pitch for this group was to talk about the journal as doing more than just writing about teaching and learning: we also build pedagogy into our publishing process and infra...",2024-08-07T00:00:00-04:00,1737
Apply For The 2021-2022 Praxis Cohort!,https://scholarslab.lib.virginia.edu/blog/apply-for-the-2021-2022-praxis-cohort/,"Calling UVA graduate students! We’re still thinking about 2020, but it’s never too early to think about next year.Applications are now open for the 2021-2022 Praxis Program cohort. Applications are due March 1st, 2021. Consider spending some time with us next year!If you’re interested in learning more about the fellowship or have questions about anything you read below, please consider attending the information session for the 2021-2022 cohort -February 2nd, 2021 from 2:00-3:00 on Zoom. Pleaseregisterto attend.ThePraxis Programis a radical re-imagining of the annual teaching and training we offer in the Scholars’ Lab. This fellowship supports a team of University of Virginia PhD students from a variety of disciplines, who work collaboratively on a shared digital humanities project. Under the guidance of Scholars’ Lab faculty and staff, Praxis fellows conceive, develop, publish, and promote a digital project over the course of an academic year. Praxis is a unique and well-known training...",2020-11-10T09:32:30-05:00,1034
Announcing 2024-2025 Praxis Cohort,https://scholarslab.lib.virginia.edu/blog/announcing-2024-2025-praxis-cohort/,"We are thrilled to announce the 2024-2025 Scholars’ Lab fellows for the Praxis Program. We are welcoming five fellows from different disciplines in the arts and humanities at UVA. The Scholars’ Lab is delighted to work with these students in the 14th (!) year of the Praxis Program, our flagship introduction to digital humanities by way of collaborative, project-based pedagogy:Oriane Guiziou-Lamour - FrenchKristin Hauge - music-and-sound Composition and Computer TechnologiesGramond McPherson - HistoryEmmy Monaghan - Art and Architectural HistoryAmna Tarar - Religious StudiesOur graduate fellows are joining a robust and vibrant community of past students. Look forward to more details about the Praxis Program’s work in the fall!Brandon Walshis
                Head of Student Programs in the Scholars’ Lab.Cite this post:Brandon Walsh. “Announcing 2024-2025 Praxis Cohort”. Published January 11, 2024.https://scholarslab.lib.virginia.edu/blog/announcing-2024-2025-praxis-cohort/. Accessed on.",2024-01-11T00:00:00-05:00,130
Announcing 2025-2026 Scholars’ Lab Fellows,https://scholarslab.lib.virginia.edu/blog/announcing-2025-2026-scholars-lab-fellows/,"We are thrilled to announce the 2025-2026 Scholar’s Lab fellows for the Praxis Program and the Graduate Fellowship in the Digital Humanities. We are welcoming 6 fellows from 3 disciplines from the arts, humanities, and social sciences. Our graduate fellows are joining a robust and vibrant community of past students!Praxis ProgramWe are delighted to welcome 5 team members to the 15th (!) year of the Praxis Program, our flagship introduction to digital humanities by way of collaborative, project-based pedagogy:Jessica Gomez, (English)Ganiyu (Jimga) Jimoh, (Art and Architectural History)Eleanor Ma, (Sociology)Leo Palma, (Art and Architectural History)Adnan Zarif, (English)Look forward to more details about the Praxis Program’s work in the fall!Graduate Fellows in the Digital HumanitiesFinally, we are looking forward to working with Seanna Viechweg, our 2025-2026 Graduate Fellow in the Digital Humanities.Seanna Viechweg’s (English) dissertation is titled “Dougla Dreaming: Afro-Indo-Caribbe...",2025-03-20T00:00:00-04:00,233
The Programming Historian And Editorial Process In Digital Publishing,https://scholarslab.lib.virginia.edu/blog/the-programming-historian-and-editorial-process-in-digital-publishing/,"Crossposted toBrandon's blog.At MLA 2021, I was part of a panel  on “Perspectives on Digital Humanities Publishing” along with Jojo Karlin and Matthew K. Gold; Radhika Gajjala; and Gabriela Baeza Ventura and Carolina Villarroel. The lightly edited text of my talk follows along with my slides. As always, I tend to use the text as an outline and then expand or contract sections in the moment. More information on that strategy for public speaking can be foundhere.Hello! I’m Brandon Walsh, Head of Student Programs in The Scholars’ Lab, a center for digital research in the University of Virginia Library. I’m also on the editorial board forThe Programming Historian, and I’ll be talking today about the editorial processes we use to guide new lessons from submission to publication. In particular, I’ll be focusing on the technical platform we use for these workflows and how those technologies intersect with and inform the process itself.I wanted to express gratitude up front to my co-presenters...",2021-01-15T06:39:00-05:00,3438
Failure,https://scholarslab.lib.virginia.edu/blog/failure/,"In middle school I built a website about the seven wonders of the ancient world. Nothing fancy – just images and some links – and I never published it. Building a personal website over the past few days as per Jeremy’s request feels a bit like coming full circle. My HTML skills remain prepubescent at best, and my barebones site keeps the spirit of GeoCities in the early 1990’s alive and well. Check it out.http://walshbr.com/old-site/.I admit to some hesitation in posting this fledgling site for all to see: so much more could be done to bring it into the twenty-first century. But I keep coming back to Bethany’s encouragement last week to fail in public, advice with which I am in love. My graduate training thus far has emphasized polish and perfection, for clear and obvious reasons. But even at this early stage, my work with Praxis feels more electric knowing that mistakes are welcome and that failure is viewed as a space of experimentation and elaboration rather than embarrassment.I can...",2012-09-21T12:07:47-04:00,330
Another Word,https://scholarslab.lib.virginia.edu/blog/another-word/,"Crossposted toBrandon's blog.I remember very clearly my flight back from the 2016 DLF Forum. I had presented with Mackenzie Brooks on open writing for Small Liberal Arts Colleges. My Facebook feed was full of photos of people voting in the US presidential election. Long lines. People putting one foot in front of another to vote. I flew back home on election night, and I remember the strange way that people in the airport started gathering around the television watching what was happening. Normally, people kept to themselves. That night, the anxiety in the air was palpable. As was the growing excitement (DLF, after all, was in Wisconsin that year). I remember the panic I felt flying and not knowing what would wait for me when we landed. When I got in my car and turned on NPR in a rush at 2:00 AM I first heard the results. I remember not being able to sleep.In 2024, history rhymed. Conference week? Check. The ACH conference was the week of the election, and for months we had all wondered...",2024-11-18T00:00:00-05:00,1098
A Workflow For Remote Music Recording,https://scholarslab.lib.virginia.edu/blog/a-workflow-for-remote-music-recording/,"Crossposted toBrandon's blog.If you’ve followed me on social media for any length of time you likely know that I am a musician. I play horns withThe Hard Modes, a group that performs original jazz arrangements of video game music. There’s some slight overlap between my time with that group and my work in the DH world, insofar as people in the DH community often tend to enjoy video game music (Quinn Dombrowski even had us perform for theAnimal Crossing: New Digital Humanitiesseries!). But the COVID-19 Pandemic and resultant social distancing the last few years really made the work feel more DH-y as we tried to find ways to keep playing together remotely even while it was unsafe to do so in person. We wound up releasing an album calledThe Lan Sessionsthat consisted of tracks where all the individual instruments were recorded separately and at home. Greg Weaver, our bandleader, arranger, and saxophonist, talks a bit about the process of facilitating those remote home recordings in hisblog...",2023-07-17T00:00:00-04:00,2042
What I’m Reading: Winter 24,https://scholarslab.lib.virginia.edu/blog/what-im-reading-winter-24/,"Crossposted toBrandon's blog.My family moved house this winter, so I spent countless hours packing, unpacking, setting up, and driving. Audiobooks were a great companion for all that work. Here are the four relevant to DH and teaching that I got through in the past several weeks.Ratchetdemic: Reimagining Academic Successby Christopher Emdin. I adored this text that was recommended to me by Seanna Viechweg, one of our brilliant Praxis students this year. In it, Emdin advocates for bringing the authentic, lived experience of teachers and students into the classroom, especially when their identities depart from what might be considered academically acceptable. Emdin writes explicitly from his experiences teaching in urban classrooms, where he saw the conflict between teacherly norms that value whiteness and devalue disruptive, lived, or “ratchet” behaviors. The ratchetdemic bridges these divides by making the ratchet a tool of political and pedagogical protest.Fugitive Pedagogy: Carter G....",2024-01-17T00:00:00-05:00,529
Dream Math,https://scholarslab.lib.virginia.edu/blog/dream-math/,"Crossposted toBrandon's blog.Amanda Visconti and I are starting a series of process experiments with public writing, where the goal is to experiment with format and mode while still attempting to get a public piece done in a single hour. For this first session we sat together, read some intentions and affirmations to set the tone, and then pulled from theOblique Strategiescard deck to get a prompt for us each to write on. The card Amanda chose hit me in the gut:What mistakes did you make last time?Given everything going on in the news right now, it’s impossible not to read this in light of the new presidential administration, which has just released a flurry of executive actions and destabilizing edicts designed to harm, divide, and panic. It feels like history rhyming, this time with capital letters. The first Trump administration felt excruciating and devastating in all sorts of ways, and this one already feels worse. I have been thinking endlessly about the memory of the last time, ...",2025-01-29T00:00:00-05:00,474
Ruby Grading 2.0,https://scholarslab.lib.virginia.edu/blog/ruby-grading-2-0/,"I just recently posted myexperiment with making a Ruby program that you can use for doing your own grading. I have since made several improvements upon the first draft of the code, so I present to youRuby Grading 2.0.The changes:1) I converted the code to incorporate classes, which was a huge learning process for me that involvedlotsof troubleshooting. I think I am starting to get the hang of classes and understand their importance. The conversion process was nightmarish, but they allow you to be a lot more flexible when trying to include new tasks. Plus, I learned a lot from the ordeal.2) I made it so that you can now input your entire roster into the grading program and calculate all your final grades there. You only input the syllabus parameters once, at the beginning. The program saves these and then applies them to all the students on your list. At the end it will spit out a nice little list of students’ names and their final percentage grades.3) I also tweaked several small thing...",2012-12-13T06:33:40-05:00,456
"Fizzing, Buzzing",https://scholarslab.lib.virginia.edu/blog/fizzing-buzzing/,"SinceGwenjust posted her solution to theFizz Buzzhomework assignment,  I thought that I would throw mine up here as well. Here is mysolution.It’s pretty similar to Gwen’s take on the problem. I just switched the order of a couple things and used a couple shortcuts. I also apparently have a penchant for extra parentheses to help organize things.I do feel like I perhaps missed the point of the exercise, given that it was tacked onto Wayne’s discussion of object-oriented programming and classes. Perhaps we were meant to solve this problem using that approach? In any case, there is no one way to make breakfast; I’ll take my approach for now, until I have a better grasp of object-oriented programming. I’ll use what I know.Brandon Walshis
                Head of Student Programs in the Scholars’ Lab.Cite this post:Brandon Walsh. “Fizzing, Buzzing”. Published December 10, 2012.https://scholarslab.lib.virginia.edu/blog/fizzing-buzzing/. Accessed on.",2012-12-10T05:56:33-05:00,143
A Praxis-Oriented Introduction to Digital Pedagogy,https://scholarslab.lib.virginia.edu/blog/a-praxis-oriented-introduction-to-digital-pedagogy/,"Crossposted tomy blog.One thing I’ve realized about the Praxis Program, our year-long, soup-to-nuts introduction to digital humanities for a cohort of doctoral students, is that it changes each year. In my first year here, these changes were a source of anxiety for me. Surely, I thought, there must be a way to systematize the program, to find a format that would be more consistent, and, thus, more sustainable. Over the last two years, however, I’ve come to view these regular tweaks as a strength of the program. Rather than being locked into what we’ve done in the past, we’re committed to re-examining our assumptions and our plans. To illustrate this, I’d like to share an example of a problem we identified and some the ways we tried to address it during the past year.At the end of every program, we run exit surveys with students and hold debrief conversations among the staff involved. Last year’s discussions brought up an important issue: for all of our talk about how the program is mea...",2019-05-30T11:25:22-04:00,2123
Praxis Hackathon Scaffolding,https://scholarslab.lib.virginia.edu/blog/praxis-hackathon-scaffolding/,"Crossposted toBrandon's blog.The current formulation for Praxis has the students carrying out a small-scale hackathon in the spring as a way of practicing the variousintersecting pieces of the curriculumthey’ve learned throughout the year. The segment is meant to draw together lessons in project development, humanities programming, and critical approaches to design. We have a few moments in the year to scaffold the process leading to the hackathon and help the students come to a shared sense of their goals and activities for that time before the event itself. In describing how the process will work for the students, I proposed that we start with a working definition for digital projects. After all, groups always struggle to define parameters for their work. Shared definitions and milestones can help make that process easier.a digital project = a digital method applied to a particular object of studyAnd, for the purposes of the hackathon, we’re describing an object of study as a context...",2023-10-09T00:00:00-04:00,709
Call For Digital Humanities Fellows Applications: 2020-2021,https://scholarslab.lib.virginia.edu/blog/call-for-digital-humanities-fellows-applications-2020-2021/,"We are now accepting applications for the 2020-2021 Digital Humanities Fellowship Cohort.The application deadline for fellowships to be held during the 2020-2021 academic year isMonday, November 25th, 2019 at 11:59 PM. We will do our best to render decisions by late December.The Digital Humanities Fellowship supports advanced doctoral students doing innovative work in the digital humanities at the University of Virginia. The Scholars’ Lab offers Grad Fellows advice and assistance with the creation and analysis of digital content, as well as consultation on intellectual property issues and best practices in digital scholarship and DH software development. The highly competitive Graduate Fellowship in Digital Humanities is designed to advance the humanities and provide emerging digital scholars with an opportunity for growth.Fellows join our vibrant community, have a voice in intellectual programming for the Scholars’ Lab, make use of our dedicated grad office, and participate in one for...",2019-09-23T06:02:40-04:00,800
Making Noise In The Makerspace,https://scholarslab.lib.virginia.edu/blog/making-noise-in-the-makerspace/,"Crossposted tomy personal blogI’m a musician in my life outside of work, and one of my goals in the coming year is to explore the ways in which this part of my identity might intersect with my professional life as a DH teacher and researcher. I’m still working out what this looks like, but, for now, I’m exploring how critical making can give me a clearer sense of the technologies involved in musical production.One thing I’ve been working on is thePedal-Pi- a kit for building a guitar pedal that runs off a Raspberry Pi Zero. I picked this kit because it comes with just about every component you need to get going, as opposed to some other models that provide you with a shopping list but leave you to do the ordering (these options wound up being much more expensive all told). I’m interested in this project for a few reasons. For one, I don’t really have much sense at all of how electronics work or how the stuff I’m doing with an instrument gets processed into a digital format. For another...",2019-07-18T06:28:45-04:00,1179
Call for Digital Humanities Fellows Applications – 2019-2020,https://scholarslab.lib.virginia.edu/blog/call-for-digital-humanities-fellows-applications-2019-2020/,"We are now accepting applications for the 2019-2020 DH Fellows Cohort!Applications are dueFriday, November 30th.The Digital Humanities Fellowship supports advanced doctoral students doing innovative work in the digital humanities at the University of Virginia. The Scholars’ Lab offers Grad Fellows advice and assistance with the creation and analysis of digital content, as well as consultation on intellectual property issues and best practices in digital scholarship and DH software development. The highly competitive Graduate Fellowship in Digital Humanities is designed to advance the humanities and provide emerging digital scholars with an opportunity for growth.Fellows join our vibrant community, have a voice in intellectual programming for the Scholars’ Lab, make use of our dedicated grad office, and participate in one formal colloquium at the Library per fellowship year. As such, students are expected to be in residence on Grounds for the duration of the fellowship.The award provide...",2018-10-01T08:31:58-04:00,713
Announcing 2021-2022 Fellows,https://scholarslab.lib.virginia.edu/blog/announcing-2021-2022-fellows/,"We are thrilled to announce the 2021-2022 Scholar’s Lab fellows for the Praxis Program and the Graduate Fellowship in the Digital Humanities. We are welcoming 8 fellows from 5 disciplines from the arts, humanities, and social sciences. Our graduate fellows are joining a robust and vibrant community of past students!Praxis ProgramWe are delighted to welcome 6 team members to the 11th (!) year of the Praxis Program, our flagship introduction to digital humanities by way of collaborative, project-based pedagogy:Susan Abraham, SpanishJoseph Foley, HistoryCherrie Kwok, EnglishJennifer Marine, Art and Architectural HistoryJacqueline Sahagian, HistoryTarushi Sonthalia, EnglishLook forward to more details about the Praxis Program’s new project in the fall!Graduate Fellows in the Digital HumanitiesFinally, we are looking forward to working with Alexander Christie and Michael VanHoose, our 2021-2022 Graduate Fellows in the Digital Humanities.Alexander Christie’s (Music, Composition & Computer Te...",2021-05-26T05:46:26-04:00,256
Parents Fund Award for AR/VR Development,https://scholarslab.lib.virginia.edu/blog/parents-fund-award/,"I am pleased to announce that the Scholars’ Lab and UVA Library have been awarded $6,000 by theUVA Parents’ Fundto increase capacity for augmented and virtual reality teaching and research on grounds. The grant will support a small cohort of students this calendar year as they work with us to create public, novice-friendly documentation on how we apply these technologies to learning and research. If time allows and given student interest, they will also co-teach a workshop series on augmented reality for the university and Charlottesville communities and develop cultural heritage 3D data for preservation in our institutional repository. The hope is that this work will increase our capacity to support interest in these technologies, make our own lessons available to a broad public, offer professionally legible work for the students working to develop the project with us, and establish these same students as a community of experts who can help pay their experiences forward to others. The...",2019-01-09T07:45:39-05:00,214
Applications For The 2025-2026 Praxis Fellowship Cohort Now Open,https://scholarslab.lib.virginia.edu/blog/applications-for-the-2025-2026-praxis-fellowship-cohort-now-open/,"Applications are now open for Praxis Fellowships to be held during the 2025-2026 academic year. Further details below about this application cycle, which has applications due November 1st, 2024.Consider spending time with us next year!If you’re interested in learning more about the fellowship or have questions about anything you read below, please consider attending the information session for the 2025-2026 cohort -Monday, September 9th, 2024 from 11:00-12:00 on Zoom. Pleaseregisterto attend.ThePraxis Programis a unique and well-known training program in the international digital humanities, offered by the UVa Library’s Scholars’ Lab. This fellowship supports a team of University of Virginia PhD students each year as they explore various aspects of digital humanities together. Under the guidance of Scholars’ Lab faculty and staff, Praxis fellows conceive, develop, and share a range of digital humanities activities over the course of the year. Our fellowsblogabout their experiences and ...",2024-06-25T00:00:00-04:00,1209
Reflections on a Year of DH Mentoring,https://scholarslab.lib.virginia.edu/blog/reflections-on-a-year-of-dh-mentoring/,"Crossposted toWLUDH blog.This year I am working withEric Rochesteron a fellowship project that has me learning natural language processing (NLP), the application of computational methods to human languages. We’re adapting these techniques to study quotation marks in the novels of Virginia Woolf (read more about the projecthere). We actually started several months before this academic year began, and, as we close out another semester, I have been spending time thinking about just what has made it such an effective learning experience for me. I already had a technical background from my time in the Scholars’ Lab at the beginning of the process, but I had no experience with Python or NLP. Now I feel most comfortable with the former of any other programming language and familiar enough with the latter to experiment with it in my own work.The general mode of proceeding has been this: depending on schedules and deadlines, we meet once or twice every two weeks. Between our meetings I would wo...",2015-12-03T09:43:19-05:00,1606
Teaching Statement in Thirteen Images,https://scholarslab.lib.virginia.edu/blog/teaching-statement-in-thirteen-images/,"Crossposted toBrandon's blog.As part of the final unit in the Praxis curriculum each fall our students extensively discuss teaching and learning in digital humanities. As a way of putting these conversations into practice, they develop two outcomes: a speculative, minimal DH workshop related to their research and a teaching philosophy statement related to their newfound interests in digital pedagogy. It’s been years since I’ve put together a formal teaching statement (unless you count the variousstudent charterson the Scholars’ Lab website), so I had planned on joining the students in their writing process and producing a statement of my own to share with them. Things got away from me, though, as my wife and I just moved and are also preparing for ourfirst baby. I didn’t have the mental wherewithal to devote to this task, but I thought I’d spin up something quickly in the same spirit.I’m sharing this post as a creative spin on the genre: my teaching statement in thirteen images (thirte...",2024-01-09T00:00:00-05:00,260
Hearing Silent Woolf,https://scholarslab.lib.virginia.edu/blog/hearing-silent-woolf/,"Crossposted tomy own blog.[This week I presented at the2015 Huskey Research Exhibitionat UVA. The talk was delivered from very schematic notes, but below is a rough recreation of what I discussed. The talk I gave is a crash course in a new project I’ve started working on with the generous help of theScholars’ Labthat thinks about sound in Virginia Woolf’s career using computational methods.Eric Rochester, especially, has been endlessly giving of his time and expertise, helping me think through and prototype work on this material. The talk wound up receiving first prize for the digital humanities panel of which I was a part. The project is still very much inchoate, and I’d welcome thoughts on it.When I talk to you, you make certain assumptions about me as a person based on what you’re hearing. You decide whether or not I might be worth paying attention to, and you develop a sense of our social relations based around the sound of my voice. The voice conveys and generates assumptions abou...",2015-03-25T05:12:43-04:00,1611
"What’s a Pedagogy, and How Do I Find Mine?",https://scholarslab.lib.virginia.edu/blog/whats-a-pedagogy-and-how-do-i-find-mine/,"Crossposted tomy blog.As part of the Scholars’ Lab’s year of blogging, Amanda asked me to write a little about my pedagogy and things that have helped me find it. When someone asks me to do such a thing, I always think abouta pollthat Jesse Stommel put out on Twitter about pedagogical training in graduate programs. He asked:Dear higher education teachers, a poll. Answer below, reply with stories, and pass along. How much training in teaching or pedagogy was/is included in your graduate program?The majority of people responded to say their training amounted to “basically nothing.”I consider myself in the “basically nothing” category as well. My program did have a single semester course for pedagogical training, but for a variety of administrative reasons, it was possible to slip through the cracks and start teaching without any formal training. This is not to say there was no teachingsupport- we did have the help of a faculty mentor while serving as a teaching assistant, and we graduate...",2019-03-28T07:36:29-04:00,1830
Call For Digital Humanities Fellows Applications: 2024-2025 Cohort,https://scholarslab.lib.virginia.edu/blog/call-for-digital-humanities-fellows-applications-2024-2025-cohort/,"Applications are now open for the 2024-2025 Digital Humanities Fellowship cohort. The application deadline for fellowships to be held during the 2024-2025 academic year isFebruary 15th, 2024. More details on how to apply at the end of this page.If you’re interested in learning more about the fellowship or have questions about anything you read below, please consider attending the information session for the 2024-2025 cohort -Monday, January 15th, 2024 from 11:00-12:00 on Zoom.Pleaseregisterto attend. You are, of course, encouraged to write for an individual meeting to discuss your application so that you can begin your application.The Digital Humanities Fellowship supports advanced doctoral students doing innovative work in the digital humanities at the University of Virginia. The Scholars’ Lab offers Grad Fellows advice and assistance with the creation and analysis of digital content, as well as consultation on intellectual property issues and best practices in digital scholarship and...",2023-11-02T00:00:00-04:00,1018
Co-Teaching Is,https://scholarslab.lib.virginia.edu/blog/co-teaching-is/,"Crossposted toBrandon's blog.Co-teaching is a promise. To each other. To yourself. To believe. To trust. To support. To help. To heal.Co-teaching is not a weapon. Co-teaching is a gift.Co-teaching is an act of love. It is not a competition.Co-teaching is not a zero sum game.Co-teaching is to see the world through the eyes of another. The classroom. Yourself.Co-teaching is an act of vulnerability. To teach is to expose yourself.Co-teaching is to invite someone in.Co-teaching is an act of empathy.Co-teaching is to extend your arms openly. It is not pushing someone away.Co-teaching is a beautiful game. It is not a game of chance.To teach is to learn. To co-teach is to learn to teach.Co-teaching is embracing the unknown. To find yourself in the shoes of another.To co-teach is to recognize that you have power.Brandon Walshis
                Head of Student Programs in the Scholars’ Lab.Cite this post:Brandon Walsh. “Co-Teaching Is”. Published December 02, 2024.https://scholarslab.lib.virgin...",2024-12-02T00:00:00-05:00,153
Apply for the 2020-2021 Praxis Cohort!,https://scholarslab.lib.virginia.edu/blog/praxis-program-cfp-2020-2021-cohort/,"Calling UVA graduate students! The spring semester is just beginning, but it’s never too early to think about next year.Applications are now open for the 2020-2021 cohort. Applications are due March 1st, 2020. Consider spending some time with us!If you’re interested in learning more about the fellowship or have questions about anything you read below, please consider attending the information session for the program onWednesday, February 19th from 11AM-12PM in New Cabell Hall 236. You are, of course, welcome to write toBrandon Walshseparately and/or sooner for an individual meeting to discuss your application.ThePraxis Programis a radical re-imagining of the annual teaching and training we offer in the Scholars’ Lab. This fellowship supports a team of six University of Virginia PhD students from a variety of disciplines, who work collaboratively on a shared digital humanities project. Under the guidance of Scholars’ Lab faculty and staff, Praxis fellows conceive, develop, publish, and ...",2020-01-14T11:29:57-05:00,904
